body|category|title
"





La Gaceta del Gobierno del Estado de México informa que debido a la Fase 3 de la contingencia del coronavirus Covid-19 se tiene como justificada la no presentación de las declaraciones de situación patrimonial y la de intereses en el mes de mayo.
Y es que en el Estado de México, los servidores públicos adscritos a la administración pública estatal y municipal tienen la obligación de presentar en mayo la declaración de modificación patrimonial, de intereses y la constancia de la presentación fiscal.
Qué dice la gaceta del estado sobre el 3 de 3
Debido a la Fase 3 de la contingencia del coronavirus Covid-19, el gobierno del Estado de México señala “aplicando a contrario sensu las disposiciones legales citadas en el considerando anterior, y derivado de la implementación de las acciones para prevenir la propagación virus SARS-CoV2 (Covid-19) actualmente existe una causa justificada para no presentar las declaraciones a las que están obligadas las perdonas servidores públicas estatales y municipales, por lo que no sería procedente iniciar una investigación ni requerir su cumplimiento en tanto permanezca esta emergencia sanitaria”.
Esta medida se aplica entre otras cosas porque distintas oficinas del sector público y privado se encuentran cerradas, razón por la cual existe la imposibilidad de obtener información necesaria para el llenado de las declaraciones patrimoniales y de intereses correspondientes.
Cuándo presentarán sus declaraciones los funcionarios mexiquenses
En la Gaceta del Gobierno del 29 de abril se explica lo siguiente “Se tiene como causa justificada por la emergencia sanitaria derivada de la enfermedad generada por el coronavirus SARS-CoV2 (COVID-19), no presentar las declaraciones de situación patrimonial y de intereses en la modalidad de modificación, ni la constancia de presentación de la declaración fiscal, durante el mes de mayo de 2020”.
Resalta: “Por lo que podrán presentarse, por todas las personas servidoras públicas obligadas de la administración pública estatal y municipal, hasta el mes de julio de 2020”.
Te puede Interesar:
DeclaraNet Edomex: ¿Se presentará declaración patrimonial e intereses en mayo?
Checa la Gaceta del Gobierno del 29 de abril y empieza a revisar a partir de la página 126: 
GACETA DEL GOBIERNO EDOMEX ... by JuanMiranda on Scribd

"||Declaranet Estado de México 2020: ¿Habrá 3 de 3 en mayo? 
"
Entre las 31 capitales de los estados, Querétaro ocupa el cuarto sitio en tasa de letalidad más alta respecto a los casos acumulados de Covid-19, reporta la Dirección de Epidemiología federal.

Los datos de la Federación desglosan los casos acumulados, defunciones, personas recuperadas y hospitalizadas por el virus en cada uno de los municipios del país.

Con base en esa información, se hizo un comparativo entre las ciudades capitales de 31 estados de la República, con excepción de la Ciudad de México, que tiene el mayor número de casos y defunciones de todo el país.

El estado de Querétaro (hasta el reporte del 26 de mayo) registró 75 defunciones; aunque los números de las autoridades locales indican 93 en el último corte, esto responde a un desfase que existe entre la información de las entidades y la Federación.

En la capital queretana ocurrieron 48 de esas 75 muertes, y concentra 742 casos de Covid-19, lo que deriva en una tasa de letalidad de 6.5, con respecto de los casos positivos en toda la entidad; las muertes en la ciudad representan 64% del total de decesos del estado.

Por tasa de letalidad, la más alta es Culiacán, Sinaloa, con nueve, al reportar 254 decesos de un total de 2 mil casos positivos; en todo el estado hay 423 víctimas mortales.

Le sigue Villahermosa, Tabasco, con siete; tiene 3 mil 360 contagios del nuevo coronavirus y 427 muertes, de las cuales 236 ocurrieron en la capital.

El tercer lugar con mayor tasa de letalidad es Cuernavaca, Morelos, con 80 fallecimientos de los mil 220 registrados, es decir, una tasa de 6.6; el total de decesos en el estado es de 248.

El cuarto sitio lo ocupa Querétaro, según el reporte que hace público la Federación a través de la página www.coronavirus.gob.mx, y el quinto es Puebla, Puebla, con una tasa de 5; luego siguen Mexicali, Baja California, con 4.2; Aguascalientes, Aguascalientes, con 3.8; La Paz, Baja California Sur, con 3.8, y Mérida, Yucatán, con 3.7.

Porcentaje de decesos. En lo que respecta a las capitales que más muertes concentran por contagios de la enfermedad, con relación a las víctimas totales en los estados, la ciudad de Aguascalientes, con 26 fallecimientos, tiene 89.7% de los 29 casos que se presentaron en todo el estado.

La Paz registra 21 de los 32 fallecimientos de toda Baja California Sur, lo que equivale a 65.6%; Santiago de Querétaro tiene 48 de los 75 fallecimientos, es decir 64%.

En tanto, Culiacán concentra 60% de las muertes por Covid-19 de todo su estado; Villahermosa, Tabasco, 55%; Mérida, Yucatán, 46%, y Puebla, Puebla, 43.5%.
"|INICIO // Sociedad // Querétaro, cuarta ciudad con tasa de letalidad más alta por Covid-19|Querétaro, cuarta ciudad con tasa de letalidad más alta por Covid-19
"
La actriz Brooke Shields elevó la temperatura al publicar una foto de sí misma en su cuenta de Instagram. Presumió su bikini body ataviada con un traje de baño de dos piezas en color anaranjado neón. 

En la primera fotografía, la estrella de 54 años lució de espaldas a la cámara y en la segunda presumió su abdomen plano, fruto de intensas rutinas de ejercicio. 

Combinó su bikini, marca Melissa Odabash Bali, con un sombrero de palma y capas de joyas que incluyeron brazaletes, aretes, anillos y un reloj. Dejó suelta su cabellera mojada. 




 


 

 



 




Ver esta publicación en Instagram


 



 

 

 



 

 



 

 

 



TONIGHT at 6:30pm ET I’m going live with @catchngo on @selfmagazine Tune in and join us for a full body work out at home!

Una publicación compartida por  Brooke Shields (@brookeshields) el 26 de May de 2020 a las 10:21 PDT




Durante la década de los 80, Brooke Shields fue toda una covergirl. Apareció en la portada de Vogue cuando sólo tenía 14 años. También protagonizó una exitosa campaña para Calvin Klein y saltó a la fama por su protagónico en La Laguna Azul. 

Recomendamos: Hailey Bieber luce braless y microshort en partido con Justin 

Pero ser un ícono de moda no impidió que completara sus estudios. Se graduó de la licenciatura en Lenguas Romances de la Universidad de Princeton. 

Brooke Shields cumplirá 55 años el 31 de mayo, pero se mantiene en una excelente forma física. Realiza rutinas de ejercicio que incluyen abdominales, ejercicios de fuerza en barra, pesas y cardio. 

Durante el confinamiento, compartió una rutina de ejercicios de pilates. “Me gusta hacer este ejercicio en la pelota para quemar grasa en todo el cuerpo. Escuchen a su cuerpo y realicen modificaciones si es necesario, ¡lo importante es que se mantengan en movimiento! La actividad física es buena para el cuerpo y la mente”, escribió. 




 


 

 



 




Ver esta publicación en Instagram


 



 

 

 



 

 



 

 

 



I like to do this exercise on the ball for a full body burn (and great for your obliques!). Listen to your body and make modifications if you need to, the important thing is that you get your body moving! Activity is good for the body and mind 

Una publicación compartida por  Brooke Shields (@brookeshields) el 23 de May de 2020 a las 8:28 PDT




A principios de mayo compartió otra. Puedes verla aquí. 




 


 

 



 




Ver esta publicación en Instagram


 



 

 

 



 

 



 

 

 



This one is a little weird, but it works!

Una publicación compartida por  Brooke Shields (@brookeshields) el 7 de May de 2020 a las 9:00 PDT




Recientemente fue parte del elenco de la película Lo que siento por ti y es invitada frecuente a entregas de cine y de Broadway. 

Mira las fotos de Brooke Shields en la galería. 




 


 

 



 




Ver esta publicación en Instagram


 



 

 

 



 

 



 

 

 




 

 


Una publicación compartida por Brooke Shields (@brookeshields) el 21 de Jun de 2019 a las 12:08 PDT




Lee: Kylie Jenner presume ‘abs’ con lencería en redes sociales

Te interesa: Kourtney Kardashian presume bikini en medio del desierto
"||
"
De última hora, el secretario de Hacienda y Crédito Público (SHCP), Arturo Herrera, fue operado por una lesión que tuvo hace tiempo cuando jugaba futbol.
 
Luego de que el funcionario fue captado a las afueras de su oficina en Palacio Nacional caminando con un par de muletas, explicó en sus redes sociales lo que le sucedió.

Me han preguntado por qué llevo muletas. Resurgió una vieja lesión de cuando jugaba fútbol, que me llevó al quirófano y me hizo ver que lo mío, lo mío, no era jugar de extremo. Una pena tener que atenderme esto dada la gran responsabilidad que tienen los hospitales en estos días.
 — Arturo Herrera Gutiérrez (@ArturoHerrera_G) May 28, 2020
 
 Lea también: Arturo Herrera, a prueba 
Este día, Arturo Herrera fue captado en una foto saliendo de Palacio Nacional, acompañado del subgobernador del Banco de México (Banxico), Gerardo Esquivel, a punto de subirse a una camioneta. El secretario de Hacienda no precisó si la operación fue en la rodilla.
 
El responsable de las finanzas del país es una persona que tiene como hábito hacer ejercicio. En una entrevista que concedió a EL UNIVERSAL, comentó que para mantenerse en forma juega squash, escala y va al gimnasio.
cev
 
"|INICIO // Cartera // Antigua lesión de futbol provocó que el secretario de Hacienda fuera operado|Antigua lesión de futbol provocó que el secretario de Hacienda fuera operado
"





La última persona en osar amenazar a Nemesio Oseguera Cervantes por video terminó muerto, ese fue el desenlace del youtuber Juan Luis Lagunas Rosales, quien fue acribillado antes de presentar su show en un Bar de Zapopan. 
Pero la primera vez en el que una persona confronta al Cártel Jalisco Nueva Generación se remonta al 2013, en redes sociales se difundió la grabación en la que aparecen tres mujeres enmascaradas, usando una blusa con el mismo diseño y en el que se aprecian las siglas ‘A.G.’
Se presentaron como locatarias de la calle Obregón, una de las zonas comerciales más importantes de Guadalajara y quizá del país, hacían referencia de estar cansadas de las extorsiones y secuestros de las que eran objeto.
En el mensaje mencionan textualmente: “no podemos seguir manteniendo lacras. Pónganse a ver en el futuro que les espera a nuestros hijos, ya que son pocos los que van a la escuela porque tienen que trabajar para que alcance el poco dinero que nos dejan esos bandidos, es por eso que nosotras las mujeres nos animamos a hacer esto y a darles a conocer para pedirles que se una a esta causa”.
El CJNG creció y se afianzó como la organización criminal más poderosa del país durante el sexenio de Enrique Peña Nieto; gracias a sus estrategias sanguinarias y en los últimos años protagonizaron varias jornadas de violencia con miles de muertes.
De las mujeres no se conoció su identidad o afiliación, pero nunca más volvieron a viralizar videos para exigir la salida de la banda del Mencho.
VER:El Mencho’ y su primera guerra
El Mencho, un narco casi fantasmal
Quiénes son los herederos de ‘El Mencho’
"||El día que tres mujeres amenazaron al ‘Mencho’
"
Yuri reveló en una entrevista para el programa chileno ""Con Amigos en casa"", que Luis Miguel la ayudó a escaparse de su hogar para irse con el que sería su primer esposo Fernando Iriarte.
Yuri recordó que en esos tiempos, los años 80's, no tenía una buena relación con su madre, así que a los 21 años de edad decidió salirse de su casa junto con Fernando y Mickey fue su cómplice, ya que él la ayudó a fugarse.
""Ese día yo me escapaba con Fernando, mi primer esposo, con 21 años. Fue una noche muy emocionante de cantar con él (Luis Miguel). Era el único que sabía que después de cantar me iba a escapar de mi casa. Él me ofreció un departamento que ellos tenían en Polanco, pero yo ya tenía planeado todo. Mi relación con mi mamá no era muy buena y esa noche fue muy dolorosa, les dije que iba al baño y nunca regresé. Fue un tiempo muy difícil para toda mi familia"", expresó.
Te puede interesar: Lucero recuerda que fue divertido grabar ""Todo el amor del mundo"" con Luis Miguel
En el mismo programa, conducido por Cristián de la Fuente y Angélica Castro, Yuri también comentó que Luis Miguel siempre ha sido un muy buen amigo y que cuando tenían un problema siempre estaban apoyándose mutuamente.
""Fue mi amigo durante mucho tiempo, éramos amigos entrañables, siempre me escuchaba y no fue mi novio, me hubiera encantado porque es un hombre guapísimo, cariñoso conmigo y siempre me atendió, éramos grandes amigos. A veces cuando estaba con la novia me invitaba y yo le decía que no porque iba a hacer mal tercio, guardo muy lindos recuerdos de él"", agregó.
También lee: Diego Boneta anuncia el estreno de la segunda temporada de ""Luis Miguel""
Por otra parte, la Jarocha agradeció a su público chileno por seguirla y por el buen recibimiento que le dieron al presentarse en Viña del Mar.
rad
"|INICIO // Espectáculos // Farándula // El día que Luis Miguel ayudó a Yuri a fugarse de su casa|El día que Luis Miguel ayudó a Yuri a fugarse de su casa
"

Jalisco tiene 1,355 casos confirmados y 128 muertos por coronavirus, de acuerdo con el reporte del 27 de mayo de la Secretaría de Salud del gobierno federal.

Además, hay 9 mil 285 casos negativos y 862 sospechosos en la entidad.

La tasa de incidencia de Covid-19 en Jalisco es de 16.11 casos por cada 100 mil habitantes.

La Secretaría de Salud del gobierno federal informó que al 27 de mayo hay registro de 8 mil 597 muertos y 78 mil 023 casos confirmados acumulados de coronavirus en México.

Lee también: Por segundo día consecutivo, México tiene máximo de casos de Covid; van 78 mil 

Cronología del coronavirus en Jalisco

En el estado de Jalisco se implementaron las medidas de sana distancia una semana antes de que iniciaran a nivel federal, como la suspensión de eventos masivos y clases, que en el estado se suspendieron desde el 17 de marzo.

A lo largo de la contingencia causada por el coronavirus, el gobernador de Jalisco, Enrique Alfaro, ha tenido varias diferencias con el subsecretario Hugo López-Gatell, por la aplicación de pruebas rápidas para detectar coronavirus.

Lee también: López-Gatell responde a gobernador Alfaro; le manda saludos

13 de marzo. Universidades de Jalisco anuncian que adelantan la suspensión de clases presenciales y la realización de clases en línea, como medida preventiva para evitar contagios de Covid-19.

14 de marzo. Se confirman los dos primeros casos de coronavirus en Jalisco.

17 de marzo. Se suspenden las clases en Jalisco hasta nuevo aviso.

18 de marzo. El gobernador Enrique Alfaro informó del cierre total de casinos, bares, antros, salones de fiestas y eventos, centros nocturnos y cantinas.

20 de marzo. A través de un mensaje en redes sociales, Enrique Alfaro pidió a los jaliscienses permanecer cinco días de aislamiento total para evitar un crecimiento exponencial en los contagios de Covid-19.

23 de marzo. El gobierno de Jalisco pidió al federal el cierre de aeropuertos en la entidad, para prevenir contagios.

28 de marzo. Al menos seis enfermeras fueron atacadas o discriminadas en Guadalajara, debido al miedo de los tapatíos a contagiarse de Covid-19.

Lee también: Así opera Despensa Segura en apoyo a afectados por Covid-19

31 de marzo. El gobierno de Jalisco implementó controles de acceso al área metropolitana de Guadalajara.

2 de abril. Alfaro acusó a Hugo López-Gatell de mentir sobre las pruebas rápidas y dijo que bloquear la aplicación de tests para Covid-19 podría considerarse como traición a la patria.

2 de abril. El subsecretario Hugo López-Gatell le mandó saludos al gobernador de Jalisco durante la conferencia nocturna, después de ser cuestionado sobre las declaraciones de Enrique Alfaro.

16 de abril. Jalisco busca a médicos voluntarios para combatir el Covid-19.

19 de abril. El gobierno de Jalisco anunció el endurecimiento de medidas de sana distancia.

21 de abril. Detienen a seis personas por violar el confinamiento en Jalisco.

23 de abril. El gobernador Enrique Alfaro llamó pendejos a quienes siguen sin atender las medidas por el coronavirus.

9 de mayo. Enrique Alfaro informa que las escuelas de Jalisco no regresarán a clases presenciales y terminarán ciclo escolar en línea.

Con información de UN1ÓN Jalisco

Gráfica. Casos de coronavirus en Jalisco por día

Casos confirmados de coronavirus en JaliscoInfogram
"|INICIO // Estados // Coronavirus Jalisco: Casos confirmados de Covid-19 al 27 de mayo|Coronavirus Jalisco: Casos confirmados de Covid-19 al 27 de mayo
"
La pandemia aplazó el regreso de la mexicana Yalitza Aparicio a los sets de filmación. Pero la protagonista del laureado filme ROMA aprovecha el confinamiento para impulsar su activismo por los pueblos indígenas.
De regreso en Ciudad de México, tras pasar varias semanas en su natal Tlaxiaco (Oaxaca, sur), la primera indígena nominada como mejor actriz por la Academia de Hollywood lanzó un video informativo en lenguas ancestrales para sumar esfuerzos contra el Covid-19.
Embajadora de Buena Voluntad de la UNESCO por los pueblos indígenas, esta maestra de 26 años cuenta que se toma un tiempo para leer, pintar y pensar que ojalá la crisis ""nos enseñe que no somos distintos los unos de los otros y seamos más solidarios"".
¿Cuál ha sido su actividad preferida durante el confinamiento y cómo lo ha vivido?
En un principio fue complicado porque venía de un ritmo de vida algo acelerado, de ir de un lugar a otro sin parar, y de repente fue un 'te tienes que quedar en casa' (...) El hecho de estar encerrada me sofocaba, pero empecé a experimentar con actividades que siempre me habían gustado, como la pintura y la lectura, y que me ayudan a reconectarme otra vez con la Yali que era en un principio.
 



Artículo


Yalitza Aparicio launches heartwarming campaign in a dozen indigenous languages amid the COVID-19 pandemic

English


The actress and activism is spreading awareness among indigenous people 







¿Qué nos enseña esta pandemia?
Nos enseña a estar unidos y no solo de forma física (...) Nos enseña también a ser solidarios, a pensar en otras personas y no ser tan egoístas. Creo que fue lo bonito de este hecho, que nos estamos apoyando y estamos sacando esa parte humana.
¿Cómo nos ha cambiado esta crisis?
No sé cómo vayamos a actuar, pero deberíamos hacerlo de la mejor manera, tomar ciertas medidas, sobre todo de salud. No porque la pandemia pase, todo volverá a la normalidad.
Veía que algunos medios decían que parece que la pandemia sirvió para que el mundo se diera un respiro, y te das cuenta que es verdad porque volteas a ver el cielo y se ve menos contaminado (...) Es verdad eso de que nosotros (los humanos) nos estamos encargando de destruir el mundo.
¿La emergencia retrasó sus planes profesionales?
Como embajadora de Buena Voluntad en la UNESCO, no, afortunadamente no he parado porque este tiempo me sirve para seguir informándome.
En el campo de la actuación sí se detuvieron varios proyectos, tal vez nos encontramos varados por un tiempo, pero podremos retomarlo después. Ya estaremos viendo cómo salimos de esta pandemia y qué sucederá.
¿Cómo surgió la idea de hacer un video con mensajes sobre la COVID-19 en lenguas indígenas?
La intención (...) es mostrarle al mundo que no somos distintos los unos de los otros, sino al contrario, todos formamos parte de este mundo, y por lo tanto, todos debemos colaborar.
Todos (los participantes) estuvieron de acuerdo con este mensaje, porque el hecho de que sea hablado en lenguas indígenas de México, no significa que en otros países no estén pasando por lo mismo.
En la ciudad todavía hay tiendas que cuentan con suficientes alimentos para abastecer a la población, pero en ciertas comunidades se han dado casos donde han cerrado el paso para no estar expuestos al virus, y los alimentos no les llegan.
A eso sumemos que hay personas que solo hablan su lengua, no hablan español y no les están llegando los mensajes.



 


 

 



 




Ver esta publicación en Instagram


 



 

 

 



 

 



 

 

 



Este es un video en colaboración con grandes personas, las cuales nos muestran que el apoyo se puede expresar en diferentes idiomas. No existen barreras a la hora de ayudarnos porque todos formamos parte de este mundo. #QuédateEnCasaYa #CuidémonosEntreTodos #ComunidadesIndígenas #CuidaATuComunidad @Carolinasantossegund @Avoxmark @EduardoMarguth @Bety.cadena.5 @lezamadonaldo @vane.medina26 @mariareynaoficial @nancy_garcia_garcia94

Una publicación compartida por  Yalitza Aparicio Martínez (@yalitzaapariciomtz) el 14 de May de 2020 a las 6:23 PDT



rad
"|INICIO // Espectáculos // Yalitza Aparicio retoma la pintura y la lectura en la cuarentena|Yalitza Aparicio retoma la pintura y la lectura en la cuarentena
"
La NASA y la compañía SpaceX cancelaron este miércoles el lanzamiento de la nave Crew Dragon, que tiene la misión de llevar a dos astronautas a la Estación Espacial Internacional (EEI).

Las malas condiciones del tiempo obligaron a que minutos antes del lanzamiento se tuviera que suspender la operación.

El sábado 30 de mayo se hará un segundo intento a las 15:22 hora local (20:22 GMT).

Doug Hurley y Bob Behnken son los elegidos para viajar dentro de la cápsula Crew Dragon. Foto: NASA

La misión ha sido considerada histórica por ser la primera vez que una empresa privada sirva de ""taxi"" para que la NASA ponga a sus astronautas en órbita.

También será el primer lanzamiento espacial tripulado que se hace desde suelo estadounidense desde 2011.
La nave Crew Dragon no pudo despegar por las malas condiciones del tiempo. Foto: NASA

¿Qué ocurre ahora?

Para que el lanzamiento pudiera realizarse, debía despegar exactamente a las 4:33 p.m., hora local, para poder encontrarse en el momento preciso con la Estación Espacial Internacional, que orbita a cerca de 400 km de altura.. Eso es a lo que los expertos llaman una ""ventana de tiempo instantánea"".

El nuevo intento de lanzamiento será el 30 de mayo a las 15:22 hora local.

Hay un 60% de posibilidades de buen tiempo en ese momento, pero, como siempre en Florida en primavera, las tormentas son una posibilidad.

El gran día para la NASA y SpaceX arruinado por el mal tiempo

Jonathan Amos, corresponsal de Ciencia de BBC 

Se tomó una decisión anticipada para postergar hasta el sábado el primer lanzamiento de astronautas en Estados Unidos en nueve años.

Una tormenta tropical se está formando sobre el Atlántico y habría estado muy cerca de la trayectoria de la nave espacial cuando hiciera su ascenso a órbita.

Ahora SpaceX y la Nasa tendrán que esperar hasta que la EEI vuelva a una posición apropiada en el cielo para intentar otro lanzamiento.
La Crew Dragon tiene la misión de llegar a la Estación Espacial Internacional. Foto: NASA

El día más cercano que esto puede ocurrir es el sábado. Si ese día no se puede, habría una tercera oportunidad el domingo.

Hay un gran interés en este lanzamiento. Desde el retiro de los transbordadores espaciales en 2011, EU. ha tenido que depender de los vehículos rusos Soyuz.

Pero la misión de Hurley y Behnken no se trata solo de orgullo.

La NASA está renunciando a su práctica de poseer y operar los sistemas espaciales que usa en órbita terrestre baja y tiene la intención en el futuro de simplemente contratar servicios de transporte de tripulación.

SpaceX es el primero de estos nuevos proveedores de servicios.

 

El administrador de la NASA, Jim Bridenstine, cree que este enfoque le ahorrará dinero a la agencia, que luego podrá gastar en misiones a la Luna y Marte.

""Visualizamos un futuro donde los vuelos a la órbita terrestre baja se comercialicen por completo, donde la NASA sea uno de muchos clientes, donde tengamos numerosos proveedores que estén compitiendo en costo, innovación y seguridad"", dijo.

""Estamos probando un modelo de negocio que finalmente nos permita ir a la Luna de manera sostenible. En otras palabras, iremos a la Luna para quedarnos"", sostuvo.

¿Por qué detuvieron el lanzamiento?

La tripulación dice que el lanzamiento se canceló debido a tres violaciones de las reglas meteorológicas, y se esperaba que las tres despejasen diez minutos después del horario de despegue programado.

Sin embargo, no había margen de maniobra.

Las reglas fueron: rayos naturales, campos eléctricos en la atmósfera y nubes asociadas con tormentas eléctricas.

""Pudimos ver algunas gotas de lluvia en las ventanas y nos dimos cuenta de que, fuera lo que fuera, estaba demasiado cerca de la plataforma de lanzamiento en el momento en que necesitábamos que no estuviera"", dijo Hurley.

""Entendemos que probablemente todos estén un poco desanimados, es solo parte de todo esto. Todos estaban listos hoy y apreciamos eso, la cápsula estaba genial. Creo que lo intentaremos nuevamente el sábado"".

Recuerda que puedes recibir notificaciones de BBC Mundo. Descarga nuestra app y actívalas para no perderte nuestro mejor contenido.

¿Ya conoces nuestro canal de YouTube? ¡Suscríbete!

https://www.youtube.com/watch?v=qd1YehNpbV4&list=PLLhUyPZ7578fZ65u57ItelD3hm_p4eeup&index=5&t=91s

https://www.youtube.com/watch?v=vGFBBkfuOZk&list=PLLhUyPZ7578fZ65u57ItelD3hm_p4eeup&index=9&t=0s

https://www.youtube.com/watch?v=-O7sw3Pe5TI&t=30s
 
"|INICIO // Ciencia y Salud // ¿Qué pasará ahora que se aplazó el lanzamiento de SpaceX y la NASA?|¿Qué pasará ahora que se aplazó el lanzamiento de SpaceX y la NASA?
"
México llegó, al corte de este 27 de mayo, a 8 mil 597 muertes por Covid-19, con 78 mil 23 casos de contagios confirmados de coronavirus, según informaron autoridades de la Secretaría de Salud.
Este miércoles es el tercer día con mayor registro de defunciones en México, luego del 26 de mayo, cuando se registraron 501, y del 22 de mayo, con 479 muertes.
Hasta ayer, la Secretaría de Salud había confirmado 74 mil 560 contagios y 8 mil 134 muertos por coronavirus en México.
José Luis Alomía, director general de Epidemiología, especificó que hay 33 mil 566 casos sospechosos, aunque con 133 mil 269 casos negativos acumulados en el país.

México, lugar 8 del mundo por muertos

El día de hoy con 8 mil 597 muertes por Covid-19, México se posiciona en el lugar número ocho del mundo, de acuerdo al conteo de la Universidad Johns Hopkins.
Con esta cifra rebasa a Alemania, que hasta el momento cuenta con 8 mil 428 muertes por el virus.
Le siguen Irán con 6 mil 876 y Candá que registra 6 mil 876 fallecimientos.
Estos son los países con mayor número de muertes:
1.- Estados Unidos 100 mil 411 
2.- Reino Unido  37 mil 542
3.- Italia     33 mil 72
4.- Francia    28 mil 599
5.- España    27 mil 117
6.- Brasil     25 mil 598
7.- Bélgica   9 mil 364
8.- México    8 mil 597
9.- Alemania  8 mil 428
10.- Irán       7 mil 564
 

Cifra de muertes por Covid
Hugo López-Gatell, subsecretario de Prevención y Promoción de la Salud analizó las 501 muertes reportadas ayer 26 de mayo; explicó que todas ellas ocurrieron en días distintos y poco a poco fueron confirmadas y registradas. Dijo que ello no implica que todas ocurrieran el mismo día.
Explicó, por ejemplo que la más temprana de las muertes registradas ayer ocurrió el 21 de abril, y que el día con más muertes ocurridas de las reportadas ayer fue el 24 de mayo, con 79 defunciones.
También la tarde de este miércoles, López-Gatell dijo que aplicar pruebas de Covid-19 a toda la población sería “un desperdicio de tiempo, de esfuerzo, de recursos” ante el tamaño de la pandemia en México y todo el mundo.
“No nos interesa porque es inútil, costoso e inviable aplicar una entrevista (o prueba) a todas las personas de un país, nadie sabe cuántos casos reales hay en su país, y esto no debe considerarse una negligencia"", expresó el funcionario.

Las giras de AMLO
López-Gatell dijo que la decisión de que el presidente retome sus giras al interior del país aún no está tomada.
Afirmó que el presidente López Obrador escucha a los médicos y mañana habrá una reflexión al respecto.
""Vamos a ver mañana, seguramente el viernes el Presidente informará lo que se haya resuelto”, adelantó López-Gatell.
“Si se retoman las visitas, no se trata de concentraciones masivas, se trata de visitas técnicas de supervisión, él mismo puso los límites, dijo: ´reuniones de unas 40 personas´"", afirmó el subsecretario.
Vea aquí la transmisión completa de la conferencia sobre casos de coronavirus en México, desde Palacio Nacional:

cev/rcr
"|INICIO // Nación // Política // Por segundo día consecutivo, México tiene máximo de casos de Covid; van 78 mil|Por segundo día consecutivo, México tiene máximo de casos de Covid; van 78 mil
